id,easting,northing
051126,316050,136850
E1980,462150,260650
E5722,500450,349250
E9660,507650,115550
048157,199850,46750
076413,427150,437550
053103,407250,181250
243543TP,554850,221050
E2433,490750,267350
286392TP,519450,168250
078772,411750,406250
046161,291750,54950
563599,375650,396250
E5733,568750,224750
588705,324150,477850
050101,239250,122050
001771,357250,335050
048159,174550,40650
085960,440850,403550
046222,487450,425650
003198,441950,292650
238944TP,554650,199950
047106,224350,76550
E46341,512850,294650
E21870,597950,313650
271491TP,486250,159750
E911,554450,166050
025878,440850,547850
55000A,358750,392250
E8020,561050,114950
E5732,602550,251450
562656,376850,404850
E24632,531750,273350
049101,208450,68150
000182TP,526950,222350
050111,264650,142250
592158,299250,512550
E8030,549450,123350
047144,215550,89650
070365,477850,483850
E22683,602050,234450
E8290,514550,171950
E5724,552150,356950
000076TP,486650,201050
270669TP,467350,155250
003323,418650,347650
050105,260450,91150
000997,422450,631950
045100,276350,141750
047160,225050,111650
047156,254850,90950
576635,353750,431150
E4850,637050,167750
E24718,559150,268850
475212_TG_354,360950,256550
290578TP,553550,165450
001747,366550,323350
044201,403050,79350
E24712,503850,236450
006077,397550,590350
051124,292750,146450
E24141,615050,272350
531179,357750,173650
003096,389750,301950
246726TP,516950,191550
054371,431550,502750
E8040,559450,117050
047164,253950,68850
562811,390750,407150
046151,270950,41950
E2527,462450,255150
003604,459150,369950
E3474,625050,163050
E46361,531550,339850
E22335,500150,228550
E3220,591150,164850
046107,265750,77550
E24854,595750,195450
E24499,582050,315050
045204,323650,102450
237740TP,556550,191450
043533,502950,457050
E5720,496850,379850
048102,164350,41150
613905,355950,577450
054604,435450,492750
053113,402650,154650
279941TP,501650,167450
E26212,520250,227650
003347,374750,334250
050109,283450,121950
000180TP,550550,193350
569323,337850,420650
000028,421750,400450
001086,418150,252950
E7260,580750,110250
582970,362650,426950
048103,177650,33550
049147,181750,59150
046167,278550,78350
E7190-SOUTHERN,556450,103650
E7190-ANGLIAN,503250,387350
588886,319150,471850
045184,295950,93150
45108_,295450,110550
E1711,546650,140250
558844,407850,399350
045185,297750,128450
E2400,578250,136150
2705SO,485650,96250
035024NE,474850,512850
588006,328450,498650
270397,473950,171950
604742,349250,530850
046168,277250,88150
577794,356650,454650
004527,451750,318650
003642,451750,318650
305111,621050,137950
562992_,382650,304350
510001,549050,217750
046169,269450,70250
045186,300550,87650
1409LUCAS,330350,300450
301666,607750,141150
E5650,607750,141150
E2561,475850,268650
E21326,512050,282450
E22268,547050,240250
007015,332850,258550
001607,337450,236550
001606,349550,228450
047176,254650,78150
001338,304150,302550
001750,320650,290550
001810,327950,269650
001408,297950,276850
